"Município";"Quantidade existente"
"261245 Santa Cruz";24
"150747 São João de Pirabas";24
"520830 Divinópolis de Goiás";24
"290020 Abaré";24
"130090 Canutama";24
"230680 Jaguaribara";23
"290205 Araças";23
"260805 Jatobá";23
"210640 Mata Roma";23
"317090 Varzelândia";23
"292790 Santa Inês";23
"150658 Santa Maria das Barreiras";23
"290410 Boquira";23
"290323 Barro Alto";23
"500560 Miranda";23
"130063 Beruri";23
"292310 Olindina";23
"120034 Manoel Urbano";23
"430580 Constantina";23
"230390 Chaval";23
"411250 Jardim Alegre";23
"251660 Tavares";23
"320316 Laranja da Terra";23
"220230 Canto do Buriti";23
"230365 Catunda";23
"210592 Lagoa do Mato";22
"520465 Campinaçu";22
"520551 Cocalzinho de Goiás";22
"241340 Serra Negra do Norte";22
"521980 São Domingos";22
"210670 Mirador";22
"292595 Rafael Jambeiro";22
"241030 Serra Caiada";22
"261380 São Vicente Ferrer";22
"130068 Boa Vista do Ramos";22
"291330 Ichu";22
"411680 Nova Cantu";22
"500450 Itaporã";22
"251020 Nova Olinda";22
"290960 Crisópolis";22
"110100 Governador Jorge Teixeira";22
"140030 Mucajaí";22
"260650 Iati";22
"260690 Iguaracy";22
"230610 Irauçuba";21
"230300 Caridade";21
"292105 Matina";21
"292380 Paripiranga";21
"313700 Ladainha";21
"230526 Ibaretama";21
"292540 Potiraguá";21
"510680 Porto dos Gaúchos";21
"230890 Morrinhos";21
"231210 Santana do Cariri";21
"293305 Várzea da Roça";21
"260490 Cumaru";21
"240145 Baraúna";21
"420810 Itaiópolis";21
"261480 Tacaratu";21
"240070 Alto do Rodrigues";21
"240780 Monte Alegre";21
"261247 Santa Cruz da Baixa Verde";21
"220310 Cristino Castro";21
"231100 Poranga";21
"150200 Cachoeira do Arari";20
"240520 Janduís";20
"150400 Limoeiro do Ajuru";20
"210462 Governador Luiz Rocha";20
"251110 Pedra Lavrada";20
"411345 Lindoeste";20
"150304 Floresta do Araguaia";20
"291685 Itatim";20
"412400 Santana do Itararé";20
"291990 Macururé";20
"291960 Macajuba";20
"292140 Mirangaba";20
"210250 Cajari";20
"412470 São Jerônimo da Serra";20
"150145 Belterra";20
"311270 Capitão Enéas";20
"293315 Várzea Nova";20
"291940 Licínio de Almeida";20
"250010 Água Branca";20
"210010 Afonso Cunha";20
"210710 Morros";20
"290040 Água Fria";20
"293000 Sebastião Laranjeiras";20
"130008 Anamã";20
"230820 Meruoca";20
"210610 Loreto";20
"230920 Nova Olinda";20
"160020 Calçoene";20
"230940 Novo Oriente";20
"130110 Careiro";20
"110110 Itapuã do Oeste";20
"410305 Boa Vista da Aparecida";20
"522068 Simolândia";20
"293110 Tanquinho";20
"230980 Pacoti";20
"230125 Ararendá";20
"270840 São José da Tapera";20
"292895 São Domingos";20
"130426 Uarini";20
"320360 Mucurici";19
"130280 Maraã";19
"211227 Tufilândia";19
"220870 Redenção do Gurguéia";19
"293180 Tremedal";19
"292290 Nova Soure";19
"220480 Ipiranga do Piauí";19
"520753 Faina";19
"230060 Altaneira";19
"110037 Alto Alegre dos Parecis";19
"230180 Baixio";19
"110070 Campo Novo de Rondônia";19
"260800 Jataúba";19
"410045 Altamira do Paraná";19
"260630 Granito";19
"354190 Queluz";19
"230945 Ocara";19
"261280 Santa Terezinha";19
"312595 Fervedouro";19
"241280 São Rafael";19
"250820 Lagoa de Dentro";19
"241060 Rafael Godeiro";19
"240770 Montanhas";19
"231395 Varjota";19
"500348 Dois Irmãos do Buriti";19
"250990 Natuba";19
"251150 Pilar";19
"150630 Salvaterra";19
"290475 Buritirama";19
"150780 Senador José Porfírio";19
"290430 Brejões";19
"230490 Groaíras";19
"292080 Marcionílio Souza";19
"352170 Itaberá";19
"291670 Itaquara";19
"290035 Adustina";19
"280710 Simão Dias";19
"250620 Frei Martinho";18
"240530 Januário Cicco";18
"240330 Encanto";18
"353760 Peruíbe";18
"250770 Juazeirinho";18
"241100 Rodolfo Fernandes";18
"230310 Cariré";18
"230360 Catarina";18
"250290 Brejo dos Santos";18
"280067 Boquim";18
"261570 Triunfo";18
"260430 Cedro";18
"231120 Potengi";18
"260825 Jucati";18
"292910 São Felipe";18
"230565 Ipaporanga";18
"270680 Piaçabuçu";18
"411140 Ivaí";18
"280540 Poço Redondo";18
"316420 São Romão";18
"521405 Mundo Novo";18
"520840 Goianápolis";18
"130230 Jutaí";18
"292560 Presidente Dutra";17
"210420 Fortuna";17
"260870 Lagoa dos Gatos";17
"210760 Palmeirândia";17
"510385 Gaúcha do Norte";17
"292470 Piripá";17
"290580 Camamu";17
"292670 Rio de Contas";17
"241335 Serra do Mel";17
"170190 Araguacema";17
"260980 Orocó";17
"241400 Tangará";17
"310210 Alto Rio Doce";17
"351510 Embu-Guaçu";17
"220760 Parnaguá";17
"291875 Lagoa Real";17
"521960 Santa Tereza de Goiás";17
"240500 Jaçanã";17
"311615 Chapada Gaúcha";17
"230620 Itaiçaba";17
"260340 Calumbi";17
"292575 Presidente Tancredo Neves";17
"210087 Araguanã";17
"230185 Banabuiú";17
"520060 Alto Paraíso de Goiás";17
"250090 Arara";17
"260330 Calçado";17
"292590 Quijingue";17
"290420 Botuporã";16
"120042 Rodrigues Alves";16
"120043 Santa Rosa do Purus";16
"510610 Nossa Senhora do Livramento";16
"241360 Severiano Melo";16
"520990 Iaciara";16
"240760 Messias Targino";16
"230330 Cariús";16
"230080 Antonina do Norte";16
"320050 Apiacá";16
"230340 Carnaubal";16
"230450 Frecheirinha";16
"230535 Icapuí";16
"230393 Choró";16
"291430 Iramaia";16
"260240 Brejão";16
"150250 Chaves";16
"261440 Solidão";16
"241230 São José do Campestre";16
"412667 Tamarana";16
"110120 Ministro Andreazza";16
"320160 Conceição da Barra";16
"290870 Condeúba";16
"110180 Vale do Paraíso";16
"231010 Palmácia";16
"231335 Tejuçuoca";16
"231325 Tarrafas";16
"220202 Buriti dos Montes";16
"231390 Uruoca";16
"352100 Iperó";15
"240490 Itaú";15
"510390 General Carneiro";15
"210720 Nina Rodrigues";15
"290770 Chorrochó";15
"291500 Itaeté";15
"220610 Matias Olímpio";15
"251430 São José de Caiana";15
"241490 Viçosa";15
"230700 Jaguaruana";15
"290450 Brotas de Macaúbas";15
"261610 Verdejante";15
"520505 Castelândia";15
"260740 Itacuruba";15
"240730 Marcelino Vieira";15
"290050 Érico Cardoso";15
"140045 Pacaraima";15
"170900 Goiatins";15
"210310 Cedral";15
"150450 Melgaço";15
"150110 Bagre";15
"290860 Conde";15
"410715 Diamante D'Oeste";15
"315710 Salto da Divisa";15
"500635 Paranhos";15
"150803 Tracuateua";15
"240160 Bento Fernandes";15
"522145 Trombas";15
"140015 Bonfim";14
"411290 Jundiaí do Sul";14
"290480 Caatiba";14
"510810 Tesouro";14
"292000 Maiquinique";14
"350260 Aparecida d'Oeste";14
"290360 Biritinga";14
"241380 Taboleiro Grande";14
"241105 Tibau";14
"290380 Boa Vista do Tupim";14
"241290 São Tomé";14
"241300 São Vicente";14
"160040 Mazagão";14
"231195 Salitre";14
"230400 Coreaú";14
"291733 Iuiú";14
"291830 Jitaúna";14
"240120 Arês";14
"311630 Cipotânea";14
"291250 Ibipitanga";14
"410950 Guaraqueçaba";14
"211178 Serrano do Maranhão";14
"261010 Palmeirina";14
"210725 Nova Colinas";14
"120039 Porto Walter";14
"230290 Capistrano";14
"291010 Dom Basílio";14
"240840 Olho-d'Água do Borges";14
"270420 Limoeiro de Anadia";14
"510615 Nova Bandeirantes";14
"270310 Igaci";14
"240180 Brejinho";14
"292830 Santanópolis";13
"230090 Apuiarés";13
"250350 Cacimba de Dentro";13
"310060 Água Boa";13
"241355 Serrinha dos Pintos";13
"210409 Formosa da Serra Negra";13
"220553 Jurema";13
"241110 Ruy Barbosa";13
"522220 Vila Boa";13
"230460 General Sampaio";13
"240440 Grossos";13
"520530 Cavalcante";13
"410090 Amaporã";13
"231375 Umirim";13
"292390 Pau Brasil";13
"231355 Tururu";13
"240790 Monte das Gameleiras";13
"231123 Potiretama";13
"220300 Cristalândia do Piauí";13
"211125 São José dos Basílios";13
"291380 Ipecaetá";12
"250660 Ibiara";12
"250570 Dona Inês";12
"230395 Chorozinho";12
"411695 Nova Esperança do Sudoeste";12
"261510 Terezinha";12
"241240 São José do Seridó";12
"240280 Coronel Ezequiel";12
"293080 Souto Soares";12
"230426 Deputado Irapuan Pinheiro";12
"240150 Barcelona";12
"240320 Doutor Severiano";12
"240300 Cruzeta";12
"230880 Moraújo";12
"280550 Poço Verde";12
"240430 Governador Dix-Sept Rosado";12
"240740 Martins";12
"250020 Aguiar";12
"230140 Aratuba";12
"241330 Serra de São Bento";12
"240690 Lucrécia";12
"291860 Jussiape";12
"291030 Elísio Medrado";12
"120005 Assis Brasil";12
"110175 Vale do Anari";12
"241370 Sítio Novo";12
"250260 Igaracy";12
"250790 Juripiranga";12
"240725 Major Sales";12
"260100 Angelim";12
"220980 São Gonçalo do Piauí";12
"251570 Serra Grande";12
"241480 Vera Cruz";12
"520017 Água Fria de Goiás";12
"240990 Pendências";11
"261430 Moreilândia";11
"260250 Brejinho";11
"240980 Pedro Velho";11
"290685 Capela do Alto Alegre";11
"240030 Afonso Bezerra";11
"220590 Manoel Emídio";11
"312650 Francisco Badaró";11
"220250 Caracol";11
"292465 Pintadas";11
"250800 Juru";11
"230510 Guaramiranga";11
"220470 Inhuma";11
"260392 Carnaubeira da Penha";11
"241142 Santana do Seridó";11
"261200 Sairé";10
"150300 Faro";10
"120032 Jordão";10
"250680 Ingá";10
"240170 Bom Jesus";10
"241170 São Bento do Trairí";10
"240600 José da Penha";10
"410855 Godoy Moreira";10
"292750 Santa Bárbara";10
"352620 Juquitiba";10
"500090 Antônio João";10
"352030 Iguape";9
"500515 Juti";9
"230910 Mulungu";9
"270920 Traipu";9
"240290 Coronel João Pessoa";9
"170720 Dois Irmãos do Tocantins";9
"500124 Aral Moreira";9
"230205 Barroquinha";9
"290010 Abaíra";9
"230790 Martinópole";9
"230427 Ererê";9
"260930 Mirandiba";9
"500315 Coronel Sapucaia";9
"240680 Lajes Pintadas";8
"240860 Paraná";8
"230837 Miraíma";8
"316030 Santo Antônio do Jacinto";8
"240895 Rio do Fogo";8
"500795 Tacuru";8
"270235 Craíbas";8
"291510 Itagi";8
"241210 São João do Sabugi";8
"291345 Igrapiúna";8
"292405 Pé de Serra";8
"220360 Eliseu Martins";8
"292045 Mansidão";8
