"Município";"Quantidade existente"
"352850 Mairiporã";77
"421340 Ponte Serrada";77
"410540 Chopinzinho";77
"320480 São José do Calçado";76
"352400 Itupeva";76
"230810 Mauriti";76
"430120 Arroio do Tigre";76
"421820 Timbó";76
"431265 Não-Me-Toque";76
"291980 Macaúbas";76
"210542 Itinga do Maranhão";76
"500295 Chapadão do Sul";76
"150700 Santo Antônio do Tauá";76
"420360 Campos Novos";76
"220790 Pedro II";76
"130140 Eirunepé";76
"290630 Canavieiras";75
"110011 Jaru";75
"314430 Nanuque";75
"431900 São Marcos";75
"316070 Santos Dumont";75
"130406 Tabatinga";75
"220370 Esperantina";75
"221000 São João do Piauí";75
"500060 Amambai";75
"420985 Lindóia do Sul";75
"522010 São Luís de Montes Belos";75
"313310 Itanhandu";75
"420090 Angelina";75
"220120 Barras";74
"351820 Guararapes";74
"315150 Piumhi";74
"210540 Itapecuru Mirim";74
"431100 Jaguarão";74
"432220 Tupanciretã";73
"430940 Guaporé";73
"421210 Palmitos";73
"431660 Sananduva";73
"261410 Sertânia";73
"261560 Trindade";73
"150620 Salinópolis";72
"330520 São Pedro da Aldeia";72
"520013 Acreúna";72
"355660 Vera Cruz";72
"355340 Tanabi";72
"130250 Manacapuru";72
"260570 Floresta";71
"431130 Lagoa Vermelha";71
"310710 Boa Esperança";71
"351280 Cosmópolis";71
"293210 Ubaíra";71
"310900 Brumadinho";71
"431330 Nova Prata";71
"310740 Bom Despacho";71
"150480 Monte Alegre";71
"240100 Apodi";71
"420690 Ibirama";71
"330210 Itaocara";71
"230840 Missão Velha";71
"353460 Osvaldo Cruz";71
"320220 Fundão";71
"320460 Santa Teresa";71
"421600 São Carlos";70
"241250 São Miguel";70
"521710 Piracanjuba";70
"270830 São José da Laje";70
"431390 Panambi";70
"355210 Socorro";70
"431050 Iraí";70
"355645 Vargem Grande Paulista";70
"313190 Itabirito";70
"353880 Piraju";70
"430860 Garibaldi";70
"270170 Capela";70
"353150 Monte Azul Paulista";70
"432150 Torres";69
"432180 Três de Maio";69
"510675 Pontes e Lacerda";69
"432120 Taquara";69
"261460 Tabira";69
"290970 Cristópolis";69
"521830 Posse";69
"171320 Miracema do Tocantins";69
"170550 Colinas do Tocantins";69
"410880 Guaíra";69
"316870 Timóteo";69
"522185 Valparaíso de Goiás";69
"420280 Braço do Norte";68
"500570 Naviraí";68
"231310 Tabuleiro do Norte";68
"350960 Campo Limpo Paulista";68
"421860 Trombudo Central";68
"220290 Corrente";68
"353010 Mirandópolis";68
"210950 Riachão";68
"431380 Palmitinho";68
"292510 Poções";68
"270915 Teotônio Vilela";68
"431120 Júlio de Castilhos";67
"314000 Mariana";67
"351410 Dois Córregos";67
"250510 Cuité";67
"150543 Ourilândia do Norte";67
"211050 São Bento";67
"510267 Campo Verde";67
"521220 Jussara";67
"230240 Boa Viagem";66
"310030 Abre Campo";66
"312080 Cruzília";66
"310800 Bom Sucesso";66
"351860 Guariba";66
"320300 Iúna";66
"110045 Buritis";66
"330500 São João da Barra";66
"500380 Fátima do Sul";66
"412780 Tomazina";66
"500720 Rio Brilhante";66
"240720 Macau";66
"430640 Dois Irmãos";66
"313520 Januária";66
"320140 Castelo";65
"314870 Pedra Azul";65
"311800 Congonhas";65
"352270 Itápolis";65
"330050 Bom Jardim";65
"240260 Ceará-Mirim";65
"120050 Sena Madureira";65
"150510 Óbidos";65
"431960 São Sepé";65
"313630 João Pinheiro";65
"150830 Viseu";65
"310260 Andradas";65
"314520 Nova Serrana";65
"291050 Entre Rios";65
"431730 Santa Vitória do Palmar";65
"230850 Mombaça";65
"315430 Resplendor";65
"220830 Piracuruca";65
"310730 Bocaiúva";64
"431810 São Francisco de Assis";64
"293300 Valente";64
"421830 Três Barras";64
"260300 Cabrobó";64
"250430 Catolé do Rocha";64
"520490 Campos Belos";64
"353700 Pedregulho";64
"421100 Mondaí";64
"510650 Poconé";64
"432280 Veranópolis";63
"150670 Santana do Araguaia";63
"230380 Cedro";63
"510335 Confresa";63
"210830 Penalva";63
"521180 Jaraguá";63
"411790 Palotina";63
"313330 Itaobim";63
"420390 Capinzal";63
"350870 Caconde";62
"314070 Mateus Leme";62
"353300 Nova Granada";62
"431820 São Francisco de Paula";62
"314110 Matozinhos";62
"330260 Mangaratiba";62
"210550 João Lisboa";62
"355040 São Pedro";62
"410110 Andirá";62
"431530 Quaraí";62
"291300 Ibitiara";62
"330290 Miguel Pereira";62
"410180 Araucária";62
"412720 Terra Boa";61
"352320 Itararé";61
"522045 Senador Canedo";61
"314180 Minas Novas";61
"310420 Arcos";61
"313760 Lagoa Santa";61
"231220 Santa Quitéria";61
"231230 São Benedito";61
"510770 Rosário Oeste";61
"320390 Nova Venécia";61
"291490 Itacaré";61
"520549 Cidade Ocidental";61
"292300 Nova Viçosa";61
"210405 Estreito";61
"351740 Guaíra";61
"315580 Rio Pomba";61
"410650 Coronel Vivida";61
"230523 Horizonte";60
"421690 São Lourenço do Oeste";60
"510270 Canarana";60
"291550 Itajuípe";60
"420730 Imbituba";60
"290730 Castro Alves";60
"420490 Descanso";60
"130070 Boca do Acre";60
"260260 Brejo da Madre de Deus";60
"510480 Jaciara";60
"430750 Espumoso";60
"292150 Monte Santo";60
"150650 Santa Izabel do Pará";60
"421800 Tijucas";60
"210735 Nova Olinda do Maranhão";60
"354060 Porto Feliz";60
"421880 Turvo";60
"310090 Águas Formosas";60
"430140 Arvorezinha";60
"500325 Costa Rica";59
"310490 Baependi";59
"421570 Santo Amaro da Imperatriz";59
"352040 Ilhabela";59
"210270 Cantanhede";59
"290080 Alcobaça";59
"280130 Capela";59
"292640 Riacho de Santana";59
"320240 Guarapari";59
"292500 Planalto";59
"351030 Capela do Alto";59
"350635 Bertioga";59
"354730 Santana de Parnaíba";59
"314930 Pedro Leopoldo";59
"320455 Santa Maria de Jetibá";59
"500290 Cassilândia";59
"355640 Vargem Grande do Sul";58
"355430 Teodoro Sampaio";58
"293190 Tucano";58
"311430 Carmo do Paranaíba";58
"292050 Maracás";58
"292460 Pindobaçu";58
"430800 Faxinal do Soturno";58
"330415 Quissamã";58
"430960 Horizontina";58
"320010 Afonso Cláudio";58
"280450 Nossa Senhora da Glória";58
"210095 Arame";58
"210980 Santa Helena";58
"130160 Fonte Boa";58
"150095 Aurora do Pará";58
"250440 Conceição";58
"251550 Serra Branca";58
"520620 Cristalina";58
"231070 Pentecoste";58
"351900 Herculândia";58
"352730 Louveira";58
"290690 Caravelas";57
"290670 Cândido Sales";57
