Data;Região;Setor;Variação
01/06/2021;Brasil;Agricultura, pecuária e pesca;325670,8982
01/06/2017;Brasil;Indústria;376000,929
01/09/2017;Brasil;Indústria;71305,28638
01/12/2017;Brasil;Indústria;118381,936
01/03/2018;Brasil;Indústria;-323720,6476
01/06/2018;Brasil;Indústria;286101,3064
01/09/2018;Brasil;Indústria;-32450,48671
01/12/2018;Brasil;Indústria;-60625,40561
01/03/2019;Brasil;Indústria;-110326,7465
01/06/2019;Brasil;Indústria;319138,6139
01/09/2019;Brasil;Indústria;67818,42531
01/12/2019;Brasil;Indústria;111670,523
01/03/2020;Brasil;Indústria;-322193,5129
01/06/2020;Brasil;Indústria;-1116867,611
01/09/2020;Brasil;Indústria;-144842,293
01/12/2020;Brasil;Indústria;332621,1276
01/03/2021;Brasil;Indústria;15504,35461
01/06/2021;Brasil;Indústria;104694,8608
01/06/2017;Brasil;Construção;-100603,1473
01/09/2017;Brasil;Construção;140974,8688
01/12/2017;Brasil;Construção;72478,8961
01/03/2018;Brasil;Construção;-385472,0312
01/06/2018;Brasil;Construção;5750,966794
01/09/2018;Brasil;Construção;227231,7257
01/12/2018;Brasil;Construção;36649,08101
01/03/2019;Brasil;Construção;-288194,3928
01/06/2019;Brasil;Construção;86592,06763
01/09/2019;Brasil;Construção;253775,3041
01/12/2019;Brasil;Construção;-38364,37855
01/03/2020;Brasil;Construção;-440221,5986
01/06/2020;Brasil;Construção;-1057393,205
01/09/2020;Brasil;Construção;398881,3137
01/12/2020;Brasil;Construção;296168,1576
01/03/2021;Brasil;Construção;1808,210383
01/06/2021;Brasil;Construção;345666,6458
01/06/2017;Brasil;Comércio;202033,5044
01/09/2017;Brasil;Comércio;94286,07715
01/12/2017;Brasil;Comércio;367697,9744
01/03/2018;Brasil;Comércio;-390336,3865
01/06/2018;Brasil;Comércio;-82561,6596
01/09/2018;Brasil;Comércio;135479,8497
01/12/2018;Brasil;Comércio;267861,5923
01/03/2019;Brasil;Comércio;-194523,0786
01/06/2019;Brasil;Comércio;-10771,22552
01/09/2019;Brasil;Comércio;101276,8279
01/12/2019;Brasil;Comércio;376021,417
01/03/2020;Brasil;Comércio;-627704,8636
01/06/2020;Brasil;Comércio;-2137065,541
01/09/2020;Brasil;Comércio;2146,95768
01/12/2020;Brasil;Comércio;791869,7702
01/03/2021;Brasil;Comércio;-292963,0396
01/06/2021;Brasil;Comércio;205987,2977
01/06/2017;Brasil;Serviços;809902,7703
01/09/2017;Brasil;Serviços;716457,9007
01/12/2017;Brasil;Serviços;202180,5564
01/03/2018;Brasil;Serviços;-281127,7016
01/06/2018;Brasil;Serviços;477953,2427
01/09/2018;Brasil;Serviços;768230,9392
01/12/2018;Brasil;Serviços;440651,854
01/03/2019;Brasil;Serviços;-222569,1137
01/06/2019;Brasil;Serviços;726296,6438
01/09/2019;Brasil;Serviços;167595,9806
01/12/2019;Brasil;Serviços;416078,8268
01/03/2020;Brasil;Serviços;-495728,9428
01/06/2020;Brasil;Serviços;-2998911,411
01/09/2020;Brasil;Serviços;-1348526,946
01/12/2020;Brasil;Serviços;1679151,855
01/03/2021;Brasil;Serviços;-306795,4457
01/06/2021;Brasil;Serviços;946165,9127
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
